" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Lamb                     Anthony Lamb","SF","26","$2,093,637","1.54%","","","","","Non-Bird"
"2","Barnes                     Matt Barnes","SF","43","$2,019,706","1.48%","","","","","Non-Bird"
"3","Bogut                     Andrew Bogut","C","39","$2,019,706","1.48%","","","","","Non-Bird"
"4","West                     David West","PF","43","$2,019,706","1.48%","","","","","Early Bird"
"5","Iguodala                     Andre Iguodala","SF","40","$2,019,706","1.48%","","","","","Early Bird"
"6","Jerebko                     Jonas Jerebko","PF","36","$2,019,706","1.48%","","","","","Non-Bird"
"7","Bjelica                     Nemanja Bjelica","PF","35","$2,019,706","1.48%","","","","","Non-Bird"
"8","Green                     JaMychal Green","PF","33","$2,019,706","1.48%","","","","","Non-Bird"
"9","Mannion                     Nico Mannion","PG","22","$1,801,769","1.32%","","","","","Two-Way"

