" ","Player (13)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Barnes                     Matt Barnes","SF","45","$2,296,274","1.48%","","","","","Non-Bird"
"2","Bogut                     Andrew Bogut","C","41","$2,296,274","1.48%","","","","","Non-Bird"
"3","West                     David West","PF","45","$2,296,274","1.48%","","","","","Early Bird"
"4","Iguodala                     Andre Iguodala","SF","42","$2,296,274","1.48%","","","","","Early Bird"
"5","Jerebko                     Jonas Jerebko","PF","38","$2,296,274","1.48%","","","","","Non-Bird"
"6","Bjelica                     Nemanja Bjelica","PF","37","$2,296,274","1.48%","","","","","Non-Bird"
"7","Green                     JaMychal Green","PF","35","$2,296,274","1.48%","","","","","Non-Bird"
"8","Knox                     Kevin Knox","SF","26","$2,296,274","1.48%","","","","","Non-Bird"
"9","Lamb                     Anthony Lamb","SF","28","$2,296,274","1.48%","","","","","Non-Bird"
"10","Garuba                     Usman Garuba","PF","23","$2,296,274","1.48%","","","","","Non-Bird"
"11","Mannion                     Nico Mannion","PG","24","$2,048,494","1.32%","","","","","Two-Way"
"12","Robinson                     Jerome Robinson","SG","28","$2,048,494","1.32%","","","","","Two-Way"
"13","Armstrong                     Taran Armstrong","G","24","$2,048,494","1.32%","","","","","Two-Way"

