" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Barnes                     Matt Barnes","SF","44","$2,087,519","1.48%","","","","","Non-Bird"
"2","Bogut                     Andrew Bogut","C","40","$2,087,519","1.48%","","","","","Non-Bird"
"3","West                     David West","PF","44","$2,087,519","1.48%","","","","","Early Bird"
"4","Iguodala                     Andre Iguodala","SF","41","$2,087,519","1.48%","","","","","Early Bird"
"5","Jerebko                     Jonas Jerebko","PF","37","$2,087,519","1.48%","","","","","Non-Bird"
"6","Bjelica                     Nemanja Bjelica","PF","36","$2,087,519","1.48%","","","","","Non-Bird"
"7","Green                     JaMychal Green","PF","34","$2,087,519","1.48%","","","","","Non-Bird"
"8","Robinson                     Jerome Robinson","SG","27","$2,087,519","1.48%","","","","","Two-Way"
"9","Lamb                     Anthony Lamb","SF","27","$2,087,519","1.48%","","","","","Non-Bird"
"10","Garuba                     Usman Garuba","PF","22","$2,087,519","1.48%","","","","","Non-Bird"
"11","Mannion                     Nico Mannion","PG","23","$1,862,265","1.32%","","","","","Two-Way"

